index,left,right,weyl_a,weyl_b,weyl_c,nearest_index,nearest_distance,match
91,3441,2697,0.7215167985753235,0.6091429342664516,0.0,4384,1.021884204027031,False
92,3004,487,0.6107963547174773,0.27372017687096195,0.0,4467,1.125092501318209,False
93,2250,4021,0.7339679665221297,0.6312567023225693,0.0,4408,1.0531767778738528,False
94,1014,36,0.7117477485170722,0.42346214534431825,0.0,4407,1.065266531150746,False
95,2480,3178,0.7048677375812851,0.45376586248092665,0.0,4436,1.134786973243843,False
96,4198,118,0.5337676907893796,0.47264494802014473,0.0,4604,1.0039058172670696,False
97,2355,3977,0.5857800937578199,0.47568185848320965,0.0,4563,1.0008820945153976,False
98,4076,267,0.7102223188757018,0.29972936629127855,0.0,4407,1.0087633084249736,False
99,4957,3741,0.6265078085320122,0.5186225223632156,0.0,4436,1.0833962626459215,False
100,248,130,0.5409029049781937,0.27727146635274436,0.0,4438,1.0012956941858284,False
101,2304,1628,0.7698542002066242,0.4619051869078327,0.0,4384,1.0020048487160254,False
102,2948,3885,0.6210012148192012,0.4384655205815542,0.0,4444,1.0017911058006241,False
103,3942,2661,0.6411053023785849,0.508728495942398,0.0,4384,1.052684994926083,False
104,3837,4800,0.4344782060145409,0.3865923611563222,0.0,4563,1.0033996445699385,False
105,2582,4907,0.7373082751432074,0.4453698957056654,0.0,4467,1.0562171643607938,False
106,2164,2244,0.6446053366503648,0.24512862144161449,0.0,4436,1.0335891474927807,False
107,633,4980,0.5013959520372433,0.46484342587836375,0.0,4384,1.0199127932011507,False
108,3008,4872,0.5614465346702433,0.3491311579970124,0.0,4354,1.000421263800705,False
109,2509,787,0.6404000234292342,0.5823337491710883,0.0,4436,1.1335937129449023,False
110,4345,2992,0.6032967861707457,0.39021256838553176,0.0,4385,1.0063278238642255,False
111,4921,1506,0.6782351599764516,0.44126710536213254,0.0,2551,1.0001253074270922,False
112,3434,1063,0.6958569207115266,0.6048871511085981,0.0,4434,1.0167293995843698,False
113,594,64,0.6770251429624645,0.3698923479958297,0.0,4436,1.0074217243817793,False
114,3938,1284,0.7372834415292306,0.4301736792134099,0.0,4407,1.0020269872175886,False
115,4370,31,0.6529498462792569,0.3828144703489553,0.0,4438,1.045812173421444,False
116,1432,3894,0.6189766635033394,0.5313581349017332,0.0,4406,1.0219936188143177,False
117,2442,3571,0.5644203508697494,0.4220349615044994,0.0,243,1.0002275024291238,False
118,2538,3400,0.7216348761683795,0.6255007374624568,0.0,4410,1.093233905255296,False
119,620,3269,0.7042834607472503,0.48054804671974505,0.0,4436,1.054695921046036,False
120,3825,1530,0.4327115039675018,0.41878368506014974,0.0,4385,1.0120714176597998,False
121,2022,4217,0.6495029731649593,0.35326474636027727,0.0,4407,1.0119898523048807,False
122,2208,4538,0.7120407192286207,0.5898692903878041,0.0,4441,1.0142850873168157,False
123,2726,1099,0.7558772525687534,0.5297798559946665,0.0,4385,1.0034598185117662,False
124,3912,762,0.6111083832812767,0.38397648246368987,0.0,4413,1.0057147272609972,False
125,1671,3089,0.4183821711073197,0.3859201415925844,0.0,4467,1.1569856680432498,False
126,1832,1744,0.5864389101931966,0.5314209635356019,0.0,4441,1.0067036812706,False
127,3102,2243,0.5206040398070542,0.468029160869774,0.0,4440,1.0136261223920313,False
128,550,1063,0.7618432309224747,0.6170465015017331,0.0,4407,1.0176784327430746,False
129,3321,3636,0.6796357480230579,0.5111962150680545,0.0,4407,1.0493347499770078,False
130,2754,391,0.5009349528757756,0.4143707534782141,0.0,4410,1.0079746419086486,False
131,2772,2874,0.6741749057964093,0.16998120030292557,0.0,4409,1.0018590113430856,False
132,3919,1588,0.6550327284721016,0.5334541347757163,0.0,4440,1.0464753812615946,False
133,2377,1875,0.6271720218916848,0.4301075217670828,0.0,4408,1.0117849461151551,False
134,277,4958,0.6323546617107265,0.47323142039092614,0.0,4410,1.042165430427553,False
135,1519,1637,0.761715703317444,0.6382723808824452,0.0,4438,1.01800544512892,False
136,2907,3327,0.6235990621713015,0.449187565630129,0.0,4407,1.0060909588777132,False
137,1288,4682,0.6989129804989442,0.5013794169016623,0.0,4384,1.0170287755400376,False
138,1453,1185,0.7010449551286513,0.4933642858707821,0.0,4410,1.0017021629933471,False
139,790,2209,0.6811025429204713,0.547871194390756,0.0,4384,1.0749725216846695,False
140,1944,4367,0.6106435258305014,0.5307730179696986,0.0,4467,1.0493924667899532,False
141,1323,4462,0.725645715463676,0.39139399043425915,0.0,4436,1.1379633618110585,False
142,1213,263,0.6265263410355599,0.5033164631552057,0.0,4410,1.0114858794732282,False
143,4179,1773,0.5651501839726389,0.41961327043374774,0.0,4528,1.0001189271155662,False
144,2695,1540,0.6389210022628715,0.30076605182861393,0.0,4384,1.0048854121780002,False
145,375,1283,0.6943212670437626,0.5491723659548927,0.0,4407,1.0121319815472896,False
146,1465,4948,0.7314847017192792,0.39665408027163807,0.0,4367,1.0573201728953785,False
147,2517,626,0.6856706700071484,0.4255908192292165,0.0,4407,1.11385685722731,False
148,3176,3010,0.48857815272359506,0.45651247864213695,0.0,4467,1.2032585956435662,False
149,1202,918,0.5025311669087262,0.42415401178271456,0.0,4662,1.000656238793345,False
150,1906,4754,0.7114832217395781,0.5920477101872957,0.0,4408,1.0711321105197877,False
151,3896,4143,0.7577817158400881,0.4781340756886427,0.0,4407,1.0561543096713897,False
152,4274,3653,0.7187719402694848,0.3948264382550163,0.0,4384,1.0057713506807147,False
153,1137,671,0.7787517410120541,0.6088602495947398,0.0,4408,1.0700227649452685,False
154,3917,3716,0.660407118320065,0.418340597200084,0.0,4467,1.047601060731545,False
155,2605,2293,0.7330699312164839,0.40722981699618455,0.0,4467,1.102944536945282,False
156,3271,787,0.7128457983109673,0.6189889773558163,0.0,4384,1.0879086001661287,False
157,1216,4690,0.6197414474390239,0.5324073185116003,0.0,4436,1.016377354115951,False
158,1945,3035,0.7609635527819787,0.5591391069645243,0.0,4384,1.0041876502032272,False
159,4146,98,0.7830496901232609,0.4470745090150685,0.0,4467,1.0228763915301253,False
160,3497,493,0.776661957419762,0.454910974523003,0.0,4407,1.0045691035085478,False
161,1185,35,0.5977660779055327,0.44672371782960707,0.0,4439,1.0074628855889285,False
162,61,1299,0.6596262604636252,0.5989225002260596,0.0,4436,1.0876206591508506,False
163,2605,3057,0.40344050728352165,0.36729891628271727,0.0,4324,1.2401280753394557,False
164,4698,1590,0.6361927335924289,0.3466915487144182,0.0,4367,1.0115521685354774,False
165,3868,3494,0.4717440893883058,0.280551001166893,0.0,4357,1.0049624327295403,False
166,3664,2661,0.7545843398464118,0.5017340083804114,0.0,4407,1.0568083672845419,False
167,4998,4454,0.7622525748673645,0.5166645523944103,0.0,4385,1.0071780814706373,False
168,2856,4339,0.6134706820846523,0.5706969397500454,0.0,4406,1.0098944042054352,False
169,3874,4492,0.582414362797425,0.46694503525508024,0.0,4410,1.012034535534131,False
170,3781,3807,0.7205125912022003,0.5731032596192341,0.0,4384,1.1032601616986606,False
171,179,422,0.440341807911544,0.17956487297257756,0.0,3801,1.0001282728706609,False
172,4564,3354,0.7180826640880014,0.4239956710788488,0.0,4386,1.0864914139543225,False
173,1585,3705,0.5143790654425571,0.3684039557098246,0.0,3843,1.0007294643122815,False
174,4293,4976,0.5620254260530828,0.29656501036401095,0.0,4526,1.00013425744851,False
175,663,3835,0.7852076231768397,0.6628681990177152,0.0,4408,1.0742200800108,False
176,1577,4640,0.6997155504960579,0.29238257062305606,0.0,4513,1.0007440416857838,False
177,3148,1009,0.6482066495135141,0.4781682700020413,0.0,4407,1.1452543481335975,False
178,1270,61,0.7253367628486682,0.45756506146939246,0.0,4506,1.0118636750399976,False
179,4334,4442,0.759831840041775,0.6369105445949066,0.0,4384,1.123202876100118,False
180,3976,291,0.40107671956485724,0.33960514097416694,0.0,4440,1.0016230958833903,False
181,3433,489,0.6458163114388391,0.39164018309159726,0.0,4407,1.0356529077951462,False
182,712,3372,0.7437101229397491,0.20735897404099785,0.0,4506,1.0296018102398874,False
183,3934,3603,0.3913282909229556,0.3730088109564011,0.0,4443,1.0064416818962847,False
184,2190,3376,0.718375709980922,0.31310660791458267,0.0,4384,1.0443459645942808,False
185,4261,1785,0.5633965023736396,0.46005351991394505,0.0,4406,1.002063000913966,False
186,3039,4687,0.5384743465543629,0.24888220469971045,0.0,4467,1.2019098978247276,False
187,744,4959,0.40534831185979936,0.29531604013682544,0.0,4339,1.0000302422299119,False
188,1580,3432,0.7653903682241072,0.42985996220425293,0.0,4408,1.0142515573825759,False
189,1897,3186,0.6319718645226962,0.38161787417051374,0.0,4506,1.0108583263560618,False
190,2459,309,0.41780525521881096,0.329078359971969,0.0,4143,1.0000509090302403,False
191,4547,1805,0.757858833023894,0.5667084081313901,0.0,4384,1.0493621524973882,False
192,4933,4997,0.422026796807609,0.40345169021819804,0.0,4475,1.0036604113463237,False
193,1619,1414,0.688188322259804,0.4547627603665894,0.0,4407,1.092951485665905,False
194,919,3002,0.7794055520548477,0.512043793174659,0.0,4406,1.0462927078209057,False
195,3644,4731,0.5790109256665739,0.5700953185799785,0.0,4408,1.0427677242932731,False
196,1390,2639,0.5589651264799524,0.1600716481008878,0.0,4506,1.17749762050368,False
197,2900,4627,0.5099704373390308,0.3374187979678708,0.0,4852,1.0001910935789038,False
198,4858,125,0.5352712975727263,0.42173081806591656,0.0,4555,1.0028331333506664,False
199,2093,4280,0.5196770902799877,0.3820288355799679,0.0,4369,1.0021233524828157,False
200,4463,4390,0.4560738426641846,0.42732377581621317,0.0,4467,1.2029194465062252,False
201,2996,2118,0.6420867660608289,0.47828515340377853,0.0,4510,1.0005352164280967,False
202,2716,1765,0.6590865396630088,0.47591772899678814,0.0,4436,1.0470663129700446,False
203,2077,1426,0.6529050851496381,0.3478697628373636,0.0,4407,1.0153299406377305,False
204,3324,3919,0.7061780198546765,0.5849971774450682,0.0,4384,1.035848216901713,False
205,2500,4783,0.7543374065692134,0.37264136459231345,0.0,4436,1.069369137509233,False
206,171,2365,0.6223322031628262,0.18851103239346015,0.0,4436,1.0134202783636383,False
207,3384,4996,0.7010662396462459,0.3640934579033209,0.0,4386,1.0168913728226134,False
208,4915,2339,0.5966343792181288,0.5662810252255759,0.0,4473,1.0044665760143052,False
209,2990,1079,0.6297266547818268,0.5337441488911068,0.0,4408,1.0303714309327427,False
