weyl_a,weyl_b,weyl_c,size,w1,w2,w3,h1,h2,h3
0.7853981633974482,0.20197250398710054,-0.1779050151950079,37,6,3,1,3,5,4
0.7853981633974482,0.21008708615140215,-0.1784571485864337,38,6,3,1,3,5,5
0.7853981633974483,0.21603586232362293,0.1782587372427642,39,6,3,1,3,5,6
0.7853981633974483,0.1583581228603732,0.15302796339318459,38,6,3,1,3,6,2
0.7853981633974483,0.171753501384182,0.1633189564878288,39,6,3,1,3,6,3
0.7853981633974483,0.18308139425655945,0.16546057468935071,40,6,3,1,3,6,4
0.7853981633974483,0.19078971166977077,0.1661954011577853,41,6,3,1,3,6,5
0.7853981633974483,0.1964465994012219,0.16616046477586544,42,6,3,1,3,6,6
0.7853981633974482,0.256262289679146,-0.24792145224952478,32,6,3,1,4,2,2
0.7853981633974483,0.28140073155383494,0.2516255768957292,33,6,3,1,4,2,3
0.7853981633974482,0.2965127474279088,-0.252754673422837,34,6,3,1,4,2,4
0.7853981633974483,0.30672903977277866,0.2526913812628333,35,6,3,1,4,2,5
0.7853981633974482,0.3141809799057418,-0.252031038726205,36,6,3,1,4,2,6
0.7853981633974482,0.22116822008907988,-0.21389473254638425,35,6,3,1,4,3,2
0.7853981633974482,0.23649728632586342,-0.22530241909139992,36,6,3,1,4,3,3
0.7853981633974483,0.25009434542829645,0.22673094030501062,37,6,3,1,4,3,4
0.7853981633974482,0.2593001361053764,0.22687540182485133,38,6,3,1,4,3,5
0.7853981633974483,0.26602738061185427,0.22635756832336096,39,6,3,1,4,3,6
0.7853981633974483,0.19981044387028568,0.18393537009074823,38,6,3,1,4,4,2
0.7853981633974481,0.20482902839344863,-0.20425984626973115,39,6,3,1,4,4,3
0.7853981633974483,0.2174214621612114,0.2059558517259319,40,6,3,1,4,4,4
0.7853981633974482,0.22596317393699827,-0.20631822548062395,41,6,3,1,4,4,5
0.7853981633974482,0.2322162358441089,-0.20597562068283182,42,6,3,1,4,4,6
0.7853981633974482,0.18252947483332171,-0.16145665933548425,41,6,3,1,4,5,2
0.7853981633974482,0.18721221074385141,-0.181075945645925,42,6,3,1,4,5,3
0.7853981633974482,0.19292457944154773,-0.18913415589097848,43,6,3,1,4,5,4
0.7853981633974481,0.2009763141196732,-0.1896965612265884,44,6,3,1,4,5,5
0.7853981633974483,0.206879839868634,0.18952588258342296,45,6,3,1,4,5,6
0.7853981633974481,0.16830321113257796,-0.14390748872586467,44,6,3,1,4,6,2
0.7853981633974481,0.1731584518155147,0.16251502957774466,45,6,3,1,4,6,3
0.7853981633974482,0.17526725982235103,-0.17377447526119116,46,6,3,1,4,6,4
0.7853981633974482,0.1814382005883104,-0.17600524913674676,47,6,3,1,4,6,5
0.7853981633974483,0.18706467612669897,0.1759920812303717,48,6,3,1,4,6,6
0.7853981633974483,0.2631417631950077,0.25169381936334645,38,6,3,1,5,2,2
0.7853981633974482,0.27657322678822105,-0.2668174515332211,39,6,3,1,5,2,3
0.7853981633974482,0.29149387366847,-0.2679631749642768,40,6,3,1,5,2,4
0.7853981633974483,0.301560211536847,0.26793522511471046,41,6,3,1,5,2,5
0.7853981633974483,0.30889084305632153,0.26731735226123554,42,6,3,1,5,2,6
0.7853981633974483,0.233647285453495,0.20846373029844756,41,6,3,1,5,3,2
0.7853981633974483,0.2377215516198401,0.23083492056275023,42,6,3,1,5,3,3
0.7853981633974483,0.24426885103361684,0.23914938922112405,43,6,3,1,5,3,4
0.7853981633974483,0.25335038540581767,0.23931989960640365,44,6,3,1,5,3,5
0.7853981633974483,0.2599790342384214,0.2388401149235202,45,6,3,1,5,3,6
0.7853981633974483,0.21035393832026816,0.17793688144657693,44,6,3,1,5,4,2
0.7853981633974481,0.21472410410169473,-0.19862641660345304,45,6,3,1,5,4,3
0.7853981633974483,0.21640657405963104,0.21108005187702528,46,6,3,1,5,4,4
0.7853981633974483,0.2195183964512415,0.21678634936502128,47,6,3,1,5,4,5
0.7853981633974483,0.22569072506311727,0.21647604948576138,48,6,3,1,5,4,6
0.7853981633974483,0.19163106550920173,0.15506515831163448,47,6,3,1,5,5,2
0.7853981633974482,0.19622277213808292,-0.17450490339667457,48,6,3,1,5,5,3
0.7853981633974482,0.19812171636122144,0.18623539021200486,49,6,3,1,5,5,4
0.7853981633974483,0.19869407534876338,0.19420097785081403,50,6,3,1,5,5,5
0.7853981633974483,0.20003824638108014,0.19854992689710294,51,6,3,1,5,5,6
0.7853981633974481,0.1762878387668616,-0.13723641496887762,50,6,3,1,5,6,2
0.7853981633974483,0.18104500988039085,0.15568610461547205,51,6,3,1,5,6,3
0.7853981633974483,0.18312386125964863,0.16684497499147177,52,6,3,1,5,6,4
0.7853981633974481,0.18386558779946238,-0.17443694466176307,53,6,3,1,5,6,5
0.7853981633974483,0.1838736304116786,0.1800091346689623,54,6,3,1,5,6,6
0.7853981633974483,0.27573313155109425,0.24845323919602524,44,6,3,1,6,2,2
0.7853981633974483,0.2793743595859972,0.27309262397303424,45,6,3,1,6,2,3
0.7853981633974482,0.2878336136463897,-0.28053117362341773,46,6,3,1,6,2,4
0.7853981633974482,0.29775708422008584,-0.2805337888808008,47,6,3,1,6,2,5
0.7853981633974483,0.3049702747713212,0.2799543942324423,48,6,3,1,6,2,6
0.7853981633974482,0.2439497998839899,-0.2045098764319606,47,6,3,1,6,3,2
0.7853981633974483,0.24796266949568402,0.2266556697556572,48,6,3,1,6,3,3
