index,entry,diagram,size,weyl_a,weyl_b,weyl_c
140,140,"(3, 3, 2, 2, 2, 1)",13,0.7853981633974483,0.18900773358183953,0.020025496770255724
141,141,"(3, 3, 2, 2, 1, 1, 1)",13,0.7853981633974483,0.2283331926033133,-0.06316193157114114
142,142,"(3, 3, 2, 1, 1, 1, 1, 1)",13,0.7853981633974482,0.27975407210671754,-0.1615942964451289
143,143,"(3, 2, 2, 2, 2, 1, 1)",13,0.7853981633974483,0.16597292395661217,-0.023990102589031004
144,144,"(3, 2, 2, 2, 1, 1, 1, 1)",13,0.7853981633974483,0.1797270289583915,-0.07130838978037968
145,145,"(3, 2, 2, 1, 1, 1, 1, 1, 1)",13,0.7853981633974481,0.1955059355111919,-0.12276500619575437
146,146,"(3, 2, 1, 1, 1, 1, 1, 1, 1, 1)",13,0.7853981633974481,0.23127907994849117,-0.2104972257776021
147,147,"(11, 2, 1)",14,0.7853981633974483,0.23932971611044962,0.22770592152823993
148,148,"(10, 3, 1)",14,0.7853981633974483,0.27391859358269677,0.19130670621567053
149,149,"(10, 2, 1, 1)",14,0.7853981633974482,0.28001564912307764,-0.2334432585164956
150,150,"(9, 4, 1)",14,0.7853981633974483,0.27672825237313736,0.17581184835551367
151,151,"(9, 3, 2)",14,0.7853981633974483,0.2754042724633463,0.16816427839839704
152,152,"(9, 3, 1, 1)",14,0.7853981633974482,0.3232524869886948,-0.2040157497552002
153,153,"(9, 2, 2, 1)",14,0.7853981633974481,0.2117185982261569,-0.17431655477556163
154,154,"(9, 2, 1, 1, 1)",14,0.7853981633974483,0.29612557395231676,0.23233045991937207
155,155,"(8, 5, 1)",14,0.7853981633974483,0.25067935870382035,0.16584894226882235
156,156,"(8, 4, 2)",14,0.7853981633974483,0.22457963091805777,0.17781536002232778
157,157,"(8, 4, 1, 1)",14,0.7853981633974482,0.32567361623529933,-0.1889129777930183
158,158,"(8, 3, 1, 1, 1)",14,0.7853981633974482,0.34166018877337034,-0.20984132249798382
159,159,"(8, 2, 2, 1, 1)",14,0.7853981633974482,0.21851228569485492,-0.20240843982309453
160,160,"(8, 2, 1, 1, 1, 1)",14,0.7853981633974482,0.30245034965322937,-0.23082951037750377
161,161,"(7, 6, 1)",14,0.7853981633974483,0.1433525924396576,0.1333920140910554
162,162,"(7, 5, 2)",14,0.7853981633974483,0.1965003181517626,0.13144562758039852
163,163,"(7, 5, 1, 1)",14,0.7853981633974483,0.2803617434748942,0.17491965126900322
164,164,"(7, 4, 3)",14,0.7853981633974483,0.30702368952439324,0.09029859383509498
165,165,"(7, 4, 1, 1, 1)",14,0.7853981633974483,0.33662976846528636,0.19580107330481322
166,166,"(7, 3, 3, 1)",14,0.7853981633974481,0.1891964945232587,-0.18158865274074643
167,167,"(7, 3, 2, 2)",14,0.7853981633974483,0.2913320074893339,0.1941734086768216
168,168,"(7, 3, 1, 1, 1, 1)",14,0.7853981633974482,0.34598974100295976,-0.21381903972050953
169,169,"(7, 2, 2, 2, 1)",14,0.7853981633974482,0.19201103691953936,-0.12634012757103896
170,170,"(7, 2, 2, 1, 1, 1)",14,0.7853981633974482,0.2170312586067933,-0.2101554536061485
171,171,"(7, 2, 1, 1, 1, 1, 1)",14,0.7853981633974483,0.30301794701455975,0.23024671252952977
172,172,"(6, 5, 3)",14,0.7853981633974483,0.2338020817892792,0.0
173,173,"(6, 5, 1, 1, 1)",14,0.7853981633974482,0.23562876981367076,-0.17092463108973366
174,174,"(6, 4, 2, 2)",14,0.7853981633974483,0.2447554061954994,0.1803063971050083
175,175,"(6, 4, 1, 1, 1, 1)",14,0.7853981633974483,0.32175055439664213,0.19861145335677222
176,176,"(6, 3, 3, 2)",14,0.7853981633974483,0.25908304590909226,0.0733322079173232
177,177,"(6, 3, 3, 1, 1)",14,0.7853981633974483,0.2153615005721896,0.19260563510183015
178,178,"(6, 3, 1, 1, 1, 1, 1)",14,0.7853981633974482,0.3392628171457863,-0.2170312586067933
179,179,"(6, 2, 2, 2, 1, 1)",14,0.7853981633974481,0.19861145335677222,-0.14454424525084164
180,180,"(6, 2, 2, 1, 1, 1, 1)",14,0.7853981633974483,0.21381903972050953,0.20851049744725714
181,181,"(6, 2, 1, 1, 1, 1, 1, 1)",14,0.7853981633974482,0.2987158799375109,-0.23082951037750377
182,182,"(5, 5, 3, 1)",14,0.7853981633974483,0.25629184730159515,0.17019643731401324
183,183,"(5, 5, 2, 1, 1)",14,0.7853981633974482,0.29704759743948994,-0.21533457748118323
184,184,"(5, 4, 4, 1)",14,0.7853981633974483,0.14472489169785757,0.07131264550302097
185,185,"(5, 4, 1, 1, 1, 1, 1)",14,0.7853981633974482,0.26179938779914913,-0.19201103691953936
186,186,"(5, 3, 3, 1, 1, 1)",14,0.7853981633974482,0.205212180232067,-0.19260563510183015
187,187,"(5, 3, 2, 2, 2)",14,0.7853981633974483,0.29704759743949016,0.16738022236543199
188,188,"(5, 3, 1, 1, 1, 1, 1, 1)",14,0.7853981633974483,0.3172475476265948,0.21851228569485492
189,189,"(5, 2, 2, 2, 2, 1)",14,0.7853981633974483,0.1709246310897336,-0.07533215458074682
190,190,"(5, 2, 2, 2, 1, 1, 1)",14,0.7853981633974482,0.19580107330481322,-0.1421236913133921
191,191,"(5, 2, 2, 1, 1, 1, 1, 1)",14,0.7853981633974482,0.20984132249798382,-0.19895517403748642
192,192,"(5, 2, 1, 1, 1, 1, 1, 1, 1)",14,0.7853981633974482,0.2883718008741134,-0.23233045991937207
193,193,"(4, 4, 3, 1, 1, 1)",14,0.7853981633974481,0.25908304590909204,-0.17691566132575165
194,194,"(4, 4, 2, 2, 1, 1)",14,0.7853981633974483,0.24475540619549907,0.10826121947064937
195,195,"(4, 4, 2, 1, 1, 1, 1)",14,0.7853981633974481,0.2913320074893342,-0.2160229839398049
196,196,"(4, 3, 3, 3, 1)",14,0.7853981633974483,0.14472489169785785,-0.03181060573504357
197,197,"(4, 3, 3, 2, 2)",14,0.7853981633974483,0.2562918473015956,0.009350495974985384
198,198,"(4, 3, 3, 1, 1, 1, 1)",14,0.7853981633974482,0.18158865274074643,-0.15333533227535856
199,199,"(4, 3, 1, 1, 1, 1, 1, 1, 1)",14,0.7853981633974482,0.25779563035313213,-0.2117185982261569
200,200,"(4, 2, 2, 2, 2, 1, 1)",14,0.7853981633974483,0.17491965126900327,-0.07649399287432246
201,201,"(4, 2, 2, 2, 1, 1, 1, 1)",14,0.7853981633974481,0.1889129777930183,-0.12465939805319515
202,202,"(4, 2, 2, 1, 1, 1, 1, 1, 1)",14,0.7853981633974483,0.2040157497552002,0.17787979116226982
203,203,"(4, 2, 1, 1, 1, 1, 1, 1, 1, 1)",14,0.7853981633974482,0.26711302228395706,-0.2334432585164956
204,204,"(3, 3, 3, 2, 2, 1)",14,0.7853981633974483,0.23380208178927941,1.1102230246251565e-16
