n,weyl_b,weyl_abs_c
911,0.4461202722113722,0.1454633370183629
921,0.44617407112615304,0.14540853726403213
931,0.44622699590084114,0.14535461364171542
941,0.44627906988506894,0.145301543038177
951,0.4463303155658931,0.14524930318520113
961,0.4463807546082954,0.14519787262026895
971,0.4464304078933843,0.14514723064945567
981,0.44647929555445387,0.1450973573123937
991,0.4465274370110288,0.14504823334916672
1001,0.44657485100104477,0.14499984016901557
1011,0.4466215556112676,0.14495215982073084
1021,0.4466675683060739,0.14490517496463884
1031,0.44671290595469326,0.14485886884606636
1041,0.4467575848570071,0.14481322527020168
1051,0.44680162076799235,0.14476822857826566
1061,0.44684502892090094,0.1447238636249093
1071,0.44688782404924154,0.14468011575676343
1081,0.44693002040764096,0.14463697079207893
1091,0.4469716317916568,0.14459441500138226
1101,0.44701267155659163,0.14455243508909454
1111,0.44705315263537493,0.1445110181760576
1121,0.44709308755556965,0.14447015178290634
1131,0.44713248845554965,0.14442982381425562
1141,0.4471713670998865,0.1443900225436341
1151,0.44720973489401405,0.1443507365991401
1161,0.44724760289818466,0.14431195494977622
1171,0.4472849818407747,0.14427366689241516
1181,0.44732188213096613,0.14423586203937422
1191,0.44735831387084435,0.1441985303065616
1201,0.4473942868669347,0.1441616619021584
1211,0.4474298106412231,0.14412524731581478
1221,0.44746489444167015,0.14408927730833287
1231,0.44749954725225827,0.14405374290180095
1241,0.44753377780259385,0.14401863537017157
1251,0.44756759457708295,0.14398394623024302
1261,0.4476010058237119,0.14394966723304314
1271,0.44763401956243687,0.143915790355571
1281,0.44766664359322217,0.14388230779290279
1291,0.4476988855037307,0.1438492119506254
1301,0.4477307526766898,0.14381649543759423
1311,0.4477622522969451,0.14378415105898412
1321,0.44779339135822394,0.1437521718096395
1331,0.4478241766696165,0.1437205508676911
1341,0.4478546148617877,0.14368928158843453
1351,0.44788471239294125,0.14365835749845512
1361,0.4479144755545388,0.14362777228999501
1371,0.4479439104767877,0.1435975198155388
1381,0.4479730231339145,0.14356759408261688
1391,0.4480018193492228,0.14353798924881378
1401,0.44803030479995964,0.14350869961696855
1411,0.44805848502198486,0.14347971963056594
1421,0.4480863654142633,0.14345104386930174
1431,0.448113951243184,0.14342266704481865
1441,0.4481412476467108,0.143394583996602
1451,0.44816825963837914,0.14336678968803884
1461,0.4481949921111408,0.14333927920261225
1471,0.4482214498410615,0.14331204774024808
1481,0.44824763749088703,0.14328509061378814
1491,0.4482735596134697,0.14325840324560346
1501,0.4482992206550769,0.1432319811643179
