kind,partition,n,k,giv_gates,giv_depth,cs_gates,cs_depth
random,"(10, 4, 3, 1)",18,5,10,7,10,7
random,"(28, 11)",39,3,3,3,3,3
random,"(31, 16, 1, 1)",49,4,6,5,6,3
random,"(46, 10, 4)",60,4,6,5,6,3
random,"(24, 5, 3)",32,4,6,5,6,3
random,"(30, 4, 4)",38,3,3,3,3,3
random,"(22, 18, 5, 4)",49,5,10,7,10,7
random,"(23, 17)",40,3,3,3,3,3
random,"(8,)",8,2,1,1,1,1
random,"(6, 4, 1)",11,4,6,5,6,3
random,"(44, 1)",45,3,3,3,3,3
random,"(30, 6, 3, 2, 2, 1, 1, 1)",46,6,15,9,15,7
random,"(46, 1)",47,3,3,3,3,3
random,"(27, 3)",30,3,3,3,3,3
random,"(25, 18, 9)",52,4,6,5,6,3
random,"(7, 7, 1, 1)",16,3,3,3,3,3
random,"(16, 8, 7, 5, 4)",40,6,15,9,15,7
random,"(16, 1)",17,3,3,3,3,3
random,"(24, 1, 1, 1, 1)",28,3,3,3,3,3
random,"(22, 1)",23,3,3,3,3,3
random,"(38, 14, 3, 1)",56,5,10,7,10,7
random,"(31, 7, 1, 1)",40,4,6,5,6,3
random,"(34, 5, 5, 1)",45,4,6,5,6,3
random,"(20, 2, 1, 1)",24,4,6,5,6,3
random,"(26, 1, 1)",28,3,3,3,3,3
random,"(16, 9, 4, 2, 1)",32,6,15,9,15,7
random,"(18, 7)",25,3,3,3,3,3
random,"(26, 4, 3, 3, 2)",38,5,10,7,10,7
random,"(16, 12, 4)",32,4,6,5,6,3
random,"(27, 17, 7, 2, 1, 1)",55,6,15,9,15,7
random,"(3, 3, 2)",8,3,3,3,3,3
random,"(30, 10, 8, 2, 2, 1)",53,6,15,9,15,7
random,"(21, 4, 3)",28,4,6,5,6,3
random,"(33,)",33,2,1,1,1,1
random,"(21, 12, 3, 2, 1)",39,6,15,9,15,7
random,"(5, 2, 2, 1)",10,4,6,5,6,3
random,"(37, 12, 2, 1)",52,5,10,7,10,7
random,"(2, 2, 1)",5,3,3,3,3,3
random,"(22, 13, 8, 4, 2, 2, 2, 1, 1, 1)",56,7,21,11,21,11
random,"(8, 2, 1, 1, 1)",13,4,6,5,6,3
random,"(37, 19, 1, 1)",58,4,6,5,6,3
random,"(15, 12, 1)",28,4,6,5,6,3
random,"(56, 2)",58,3,3,3,3,3
random,"(17, 14)",31,3,3,3,3,3
random,"(10, 7, 1)",18,4,6,5,6,3
random,"(11, 6, 4, 3)",24,5,10,7,10,7
random,"(21, 17, 17)",55,3,3,3,3,3
random,"(21, 10, 9, 4, 1)",45,6,15,9,15,7
random,"(5, 4, 2, 2, 2, 1)",16,5,10,7,10,7
random,"(29, 15, 3, 1)",48,5,10,7,10,7
random,"(24, 2, 1)",27,4,6,5,6,3
random,"(58,)",58,2,1,1,1,1
random,"(25, 7, 3, 1)",36,5,10,7,10,7
random,"(38, 2, 1)",41,4,6,5,6,3
random,"(11, 6, 4, 3, 2, 2, 1)",29,7,21,11,21,11
