n,weyl_b,weyl_abs_c
1733,0.011777094793584242,0.007136593481503084
1743,0.011743925660907761,0.007115518174588331
1753,0.011711037017260895,0.007094626693759487
1763,0.011678424921488628,0.007073916392299928
1773,0.011646085509643966,0.007053384676424912
1783,0.011614014993052202,0.0070330290039253285
1793,0.01158220965643414,0.007012846882864743
1803,0.01155066585608594,0.006992835870303971
1813,0.011519380018114866,0.006972993571075392
1823,0.011488348636726986,0.006953317636590128
1833,0.011457568272566332,0.006933805763676304
1843,0.011427035551103581,0.006914455693464383
1853,0.01139674716107092,0.006895265210295598
1863,0.011366699852945361,0.006876232140666794
1873,0.011336890437473934,0.006857354352206357
1883,0.011307315784242988,0.0068386297526803475
1893,0.011277972820288806,0.006820056289027043
1903,0.011248858528746741,0.0068016319464216934
1913,0.011219969947541708,0.006783354747364356
1923,0.011191304168112592,0.0067652227508006035
1933,0.011162858334175796,0.006747234051260875
1943,0.01113462964052131,0.006729386778027369
1953,0.01110661533184426,0.006711679094325795
1963,0.011078812701606933,0.006694109196538456
1973,0.011051219090934594,0.006676675313436853
1983,0.011023831887540525,0.006659375705443615
1993,0.010996648524680519,0.00664220866390508
2003,0.010969666480136198,0.006625172510394073
2013,0.010942883275226023,0.006608265596022456
2023,0.010916296473843179,0.00659148630077766
2033,0.010889903681518542,0.006574833032879646
2043,0.010863702544509413,0.006558304228148515
2053,0.010837690748913498,0.006541898349396114
2063,0.01081186601980294,0.006525613885828285
2073,0.010786226120386211,0.006509449352467556
2083,0.01076076885118743,0.006493403289589139
2093,0.010735492049250006,0.006477474262172045
2103,0.010710393587359701,0.006461660859365281
2113,0.01068547137328818,0.006445961693965607
2123,0.010660723349055823,0.006430375401913935
2133,0.010636147490214076,0.006414900641800614
2143,0.01061174180514518,0.006399536094383151
2153,0.010587504334380493,0.006384280462122582
2163,0.010563433149935852,0.006369132468721617
2173,0.010539526354662931,0.006354090858682326
2183,0.010515782081617853,0.006339154396876268
2193,0.010492198493445626,0.006324321868116378
2203,0.010468773781778629,0.006309592076750192
2213,0.010445506166651186,0.006294963846254831
2223,0.010422393895927806,0.0062804360188497554
2233,0.010399435244746458,0.0062660074551095235
2243,0.010376628514973452,0.006251677033599634
2253,0.010353972034673864,0.006237443650504382
2263,0.010331464157593562,0.006223306219280467
2273,0.010309103262653163,0.006209263670307941
2283,0.010286887753455431,0.006195314950553588
2293,0.01026481605780355,0.006181459023242297
2303,0.010242886627231162,0.006167694867536433
2313,0.010221097936543133,0.006154021478221416
2323,0.0101994484833684,0.006140437865403747
2333,0.010177936787720554,0.006126943054206357
2343,0.010156561391572116,0.006113536084483506
2353,0.010135320858436436,0.006100216010531234
2363,0.010114213772959901,0.006086981900813804
2373,0.010093238740523702,0.0060738328376892525
2383,0.010072394386854033,0.006060767917143828
2393,0.010051679357642396,0.006047786248537967
2403,0.010031092318173784,0.006034886954348728
2413,0.010010631952963256,0.006022069169922872
2423,0.009990296965400824,0.006009332043237947
2433,0.009970086077404572,0.00599667473466603
2443,0.009949998029081253,0.005984096416741025
2453,0.009930031578394782,0.005971596273934843
2463,0.009910185500841107,0.00595917350243802
2473,0.009890458589132456,0.005946827309940339
2483,0.009870849652885316,0.005934556915428324
2493,0.009851357518318726,0.005922361548969413
2503,0.00983198102795646,0.005910240451518334
2513,0.009812719040337148,0.005898192874717267
2523,0.009793570429729948,0.005886218080703998
2533,0.009774534085857545,0.005874315341923619
2543,0.009755608913623093,0.00586248394094202
2553,0.009736793832844926,0.005850723170270911
2563,0.00971808777799571,0.0058390323321875215
2573,0.009699489697948482,0.005827410738560523
2583,0.009680998555725795,0.005815857710689265
2593,0.009662613328256908,0.0058043725791288026
2603,0.009644333006137984,0.00579295468353358
2613,0.009626156593398216,0.0057816033725011096
2623,0.009608083107270682,0.005770318003410324
2633,0.009590111577968075,0.005759097942277691
2643,0.009572241048462493,0.00574794256360267
2653,0.009554470574271223,0.005736851250227382
2663,0.009536799223244907,0.005725823393190055
