diagram,size,weyl_a,weyl_b,weyl_c
"(7, 4, 1)",12,0.7853981633974482,0.24232190498260753,0.1830660153130248
"(7, 3, 2)",12,0.7853981633974483,0.28431109019340006,0.1463644106626658
"(7, 3, 1, 1)",12,0.7853981633974482,0.3019469433367199,-0.2134737192365348
"(7, 2, 2, 1)",12,0.7853981633974483,0.21562766185083504,0.15901173622260245
"(7, 2, 1, 1, 1)",12,0.7853981633974483,0.28234775858364003,0.2417296197205605
"(6, 5, 1)",12,0.7853981633974483,0.1572723976353929,0.13113957271729504
"(6, 4, 2)",12,0.7853981633974483,0.23017939154758604,0.12054777640085668
"(6, 4, 1, 1)",12,0.7853981633974481,0.26916710138847755,-0.19401259887971367
"(6, 3, 1, 1, 1)",12,0.7853981633974482,0.3102868549551223,-0.2196242907110042
"(6, 2, 2, 1, 1)",12,0.7853981633974482,0.22207756492157493,-0.1816529663945472
"(6, 2, 1, 1, 1, 1)",12,0.7853981633974483,0.2836762063658078,0.24138296166286732
"(5, 4, 3)",12,0.7853981633974483,0.3043194148037532,0.02144406203388871
"(5, 4, 1, 1, 1)",12,0.7853981633974482,0.22491693657689105,-0.19069510012835433
"(5, 3, 3, 1)",12,0.7853981633974483,0.17903220862498959,0.13194556126018497
"(5, 3, 2, 2)",12,0.7853981633974483,0.29997654946331664,0.14043656011542982
"(5, 3, 1, 1, 1, 1)",12,0.7853981633974482,0.29514702024779815,-0.22207756492157493
"(5, 2, 2, 2, 1)",12,0.7853981633974483,0.19069510012835433,0.09536412903056046
"(5, 2, 2, 1, 1, 1)",12,0.7853981633974482,0.2196242907110042,-0.18072975247805356
"(5, 2, 1, 1, 1, 1, 1)",12,0.7853981633974483,0.2760515552170215,0.2417296197205605
"(4, 4, 3, 1)",12,0.7853981633974483,0.24526972427934446,0.0929868313456943
"(4, 4, 2, 1, 1)",12,0.7853981633974482,0.29997654946331664,-0.18160357216487277
"(4, 3, 3, 2)",12,0.7853981633974483,0.24526972427934401,0.032712587867385234
"(4, 3, 3, 1, 1)",12,0.7853981633974483,0.1790322086249887,0.109861272366099
"(4, 3, 1, 1, 1, 1, 1)",12,0.7853981633974482,0.2385682479850626,0.21562766185083504
"(4, 2, 2, 2, 1, 1)",12,0.7853981633974483,0.19401259887971367,0.09773029781415943
"(4, 2, 2, 1, 1, 1, 1)",12,0.7853981633974482,0.2134737192365348,-0.16300054402896702
"(4, 2, 1, 1, 1, 1, 1, 1)",12,0.7853981633974483,0.2558497537938704,0.24178368757363167
"(3, 3, 3, 2, 1)",12,0.7853981633974483,0.30431941480375313,-0.06626816057050977
"(3, 3, 2, 2, 1, 1)",12,0.7853981633974483,0.23017939154758593,-0.04372144438193004
"(3, 3, 2, 1, 1, 1, 1)",12,0.7853981633974483,0.2843110901933992,0.15074548345608285
"(3, 2, 2, 2, 2, 1)",12,0.7853981633974483,0.15727239763539308,0.007488334108409933
"(3, 2, 2, 2, 1, 1, 1)",12,0.7853981633974483,0.18306601531302485,-0.059153762792340636
"(3, 2, 2, 1, 1, 1, 1, 1)",12,0.7853981633974482,0.1999903700841692,-0.11491054978272697
"(3, 2, 1, 1, 1, 1, 1, 1, 1)",12,0.7853981633974481,0.23520746185167596,-0.20430037117758104
