diagram,gate_index,qubits,theta,phi,lambda
"[3, 3, 2, 1]",0,[0],0.8705111955648108,-8.049116928532385e-12,-6.283185307169889
"[3, 3, 2, 1]",1,[1],3.102567745602502,3.141592653581356,6.7363892242156e-12
"[3, 3, 2, 1]",3,[0],1.431239995973373,-3.4371168133873198e-09,3.141592653589793
"[3, 3, 2, 1]",4,[1],0.9979995709895293,5.118871657110956e-12,-9.445134196247087e-12
"[3, 3, 2, 1]",6,[0],0.17264548555692702,3.1415926570258885,0.0
"[3, 3, 2, 1]",7,[1],2.4240824468016458,-3.1415926535781886,-3.1415926535743908
"[3, 2, 2, 1, 1]",0,[0],0.3876742999182656,3.141592653482158,3.1415926535886913
"[3, 2, 2, 1, 1]",1,[1],2.170548968318386,4.210565229811891e-11,-3.141592653532392
"[3, 2, 2, 1, 1]",3,[0],1.9931660379611342,-2.463873549629625e-11,3.1415926535296874
"[3, 2, 2, 1, 1]",4,[1],1.4298936613969602,-6.283185306730672,0.0
"[3, 2, 2, 1, 1]",6,[0],2.516069453412709,3.141592653681835,-3.1415926534762537
"[3, 2, 2, 1, 1]",7,[1],2.8533645852457004,4.642040085656163e-10,-3.141592653589793
"[3, 2, 1, 1, 1, 1]",0,[0],2.322659653814597,2.357049444512427e-09,-3.1415926530560228
"[3, 2, 1, 1, 1, 1]",1,[1],0.4416562410203888,-8.746305901752294e-10,3.141592651990789
"[3, 2, 1, 1, 1, 1]",3,[0],1.9230700360244724,3.1415926483700853,0.0
"[3, 2, 1, 1, 1, 1]",4,[1],2.069276763928783,-3.141592653567347,4.6949777399163395e-11
"[3, 2, 1, 1, 1, 1]",6,[0],0.3278735593181177,-3.1415926472945204,3.141592653589793
"[3, 2, 1, 1, 1, 1]",7,[1],0.6304188132926601,-7.959636456547033e-10,9.853709673871232e-10
"[7, 2, 1]",0,[0],2.3938323570956914,3.141592658767515,-3.141592639215315
"[7, 2, 1]",1,[1],2.7249796478840596,6.283185288389394,-2.8061770684928433e-09
"[7, 2, 1]",3,[0],1.1350055806424415,-6.283185266393713,0.0
